"Force","Voltage","Acceleration1","Acceleration2","Acceleration3","Fs",
0.0063117,1.2207e-05,0.0020933,0.00081403,0.0053391,400,
0.054918,1.9531e-05,0.0038807,0.0025139,-9.5768e-05,,
0.13864,2.4414e-05,-0.003281,0.0043574,0.0046328,,
0.032638,2.6855e-05,-0.0017875,0.004956,0.0044772,,
-0.0022658,1.4648e-05,0.0023167,0.0023703,-5.9855e-05,,
-0.061391,1.709e-05,0.00087023,-9.5768e-05,0.0042138,,
-0.14468,1.9531e-05,0.0079026,-0.0018196,-0.0026576,,
-0.03431,2.4414e-05,0.0072911,-0.0019752,-0.0015323,,
0.0056104,2.9297e-05,9.4079e-05,0.00047884,0.0042018,,
0.055673,1.9531e-05,0.0032457,0.0044412,0.0010056,,
0.13557,2.1973e-05,-0.0051038,0.0048602,0.0066559,,
0.034688,2.0752e-05,-0.0020933,0.0055306,0.0060573,,
-0.0061499,1.9531e-05,0.0013289,0.0028491,0.0023224,,
-0.067595,9.7656e-06,-0.00070559,0.00059855,0.004537,,
-0.14787,2.1973e-05,0.0070677,-0.0007422,-0.00067038,,
-0.036738,2.4414e-05,0.0049391,-0.0018435,0.00087388,,
-0.00026973,2.6855e-05,-0.00044687,0.002059,0.0043335,,
0.055025,1.9531e-05,0.0021873,0.0044891,-0.00061052,,
0.13611,7.3242e-06,-0.0038219,0.005782,0.00577,,
0.029239,-7.3242e-06,-0.0036456,0.0065841,0.0062728,,
-0.0077143,1.2207e-05,-2.352e-05,0.0040941,0.00056264,,
-0.069375,1.4648e-05,-0.0032928,0.001233,0.004118,,
-0.14652,3.6621e-06,0.005386,4.7884e-05,-7.1826e-05,,
-0.039057,1.9531e-05,0.0038572,-0.0022027,-0.0014365,,
-0.00086314,1.709e-05,0.00049391,-0.001257,0.0040821,,
0.05222,1.4648e-05,0.0026695,0.0013767,-0.00073023,,
0.12861,2.5635e-05,-0.0064444,0.0028491,0.0040701,,
0.027081,3.0518e-05,-0.0050332,0.0043574,0.0060094,,
-0.012192,2.6855e-05,-0.0012465,0.0027174,-0.00086191,,
