"Force","Voltage","Acceleration1","Acceleration2","Acceleration3","Fs",
-0.0287,-0.00066406,0.012759,-0.0036152,-0.01002,400,
-0.029994,-0.00066162,0.0058564,-0.0044772,-0.0036152,,
-0.13001,-0.0006665,0.011924,-0.0034477,-0.0085353,,
-0.065006,-0.00066406,0.015735,-0.005794,-0.0099,,
-0.060528,-0.00066406,0.011713,-0.0052912,-0.0039983,,
-0.075579,-0.00065918,0.017499,-0.0065362,-0.011133,,
0.032961,-0.00067139,0.010137,-0.0056503,-0.0062249,,
-0.024384,-0.0006665,0.0085612,-0.0022266,-0.0047525,,
-0.027567,-0.00066895,0.010584,-0.0026097,-0.0094092,,
-0.033771,-0.00064697,0.0065502,-0.0044293,-0.0047525,,
-0.12462,-0.00065674,0.012865,-0.0050757,-0.0088466,,
-0.070238,-0.00065552,0.013794,-0.0065362,-0.010391,,
-0.057831,-0.00064697,0.0097842,-0.0057221,-0.0059137,,
-0.074662,-0.00063232,0.013783,-0.0060932,-0.010822,,
0.0287,-0.00063232,0.0084318,-0.0044772,-0.0078051,,
-0.026218,-0.00064209,0.0070912,-0.002873,-0.0056743,,
-0.030588,-0.00063477,0.010984,-0.002897,-0.0099838,,
-0.03431,-0.00062012,0.0056918,-0.0047166,-0.004118,,
-0.12974,-0.00062134,0.012854,-0.0047645,-0.0081642,,
-0.071695,-0.00063477,0.013982,-0.0059376,-0.01087,,
-0.05891,-0.00062378,0.0073264,-0.0055067,-0.006608,,
-0.07477,-0.00062256,0.012371,-0.0054468,-0.011971,,
0.026865,-0.00060547,0.007785,-0.0056024,-0.0088825,,
-0.030857,-0.00060791,0.0072441,-0.0038068,-0.0056982,,
-0.036144,-0.00059814,0.010349,-0.0052194,-0.010822,,
-0.036252,-0.00060303,0.0044923,-0.0062728,-0.0067397,,
-0.1353,-0.0006189,0.0080085,-0.0056024,-0.010032,,
-0.076011,-0.00060791,0.0082789,-0.007027,-0.012342,,
-0.065761,-0.00060303,0.0064444,-0.0076614,-0.0067277,,
-0.082322,-0.00061035,0.012865,-0.0079248,-0.012689,,
0.024168,-0.00059814,0.0076204,-0.0067756,-0.0079128,,
-0.037763,-0.00058838,0.0058094,-0.0042497,-0.006177,,
-0.038302,-0.00059448,0.010231,-0.0042377,-0.011947,,
-0.034634,-0.0005957,0.0037632,-0.0049081,-0.0070988,,
-0.13222,-0.00059204,0.0079261,-0.0075896,-0.011756,,
-0.077143,-0.00059448,0.01176,-0.0071347,-0.012546,,
-0.062902,-0.00059326,0.0075028,-0.0084276,-0.0065721,,
-0.082862,-0.0005835,0.013524,-0.0079009,-0.01391,,
0.0246,-0.00057983,0.0068442,-0.0071587,-0.0081523,,
-0.029023,-0.00058716,0.0038102,-0.0031005,-0.0057581,,
-0.033878,-0.00057983,0.0058564,-0.0040223,-0.011732,,
-0.033986,-0.0005835,0.0025636,-0.0043574,-0.006608,,
-0.13044,-0.00057861,0.0098077,-0.0051834,-0.010894,,
-0.072882,-0.0005835,0.012301,-0.0085234,-0.012294,,
-0.060096,-0.00057739,0.0095725,-0.007829,-0.0066559,,
-0.070562,-0.00058838,0.013524,-0.0054588,-0.011971,,
0.033501,-0.00058838,0.0056918,-0.0040941,-0.0068235,,
-0.023521,-0.00057739,0.0064209,-0.0020949,-0.0050278,,
-0.025948,-0.00058105,0.0095255,-0.003292,-0.0092416,,
-0.026218,-0.00057129,0.0066914,-0.0045969,-0.0040701,,
-0.12386,-0.00057983,0.010502,-0.0037709,-0.0073502,,
-0.069213,-0.00057129,0.011172,-0.0053391,-0.009493,,
-0.051357,-0.00057373,0.0063738,-0.004142,-0.005387,,
-0.068404,-0.00057373,0.010654,-0.0032561,-0.0092536,,
0.033663,-0.00057617,0.0068325,-0.0039265,-0.0062968,,
-0.022765,-0.00057617,0.0067384,-0.0023224,-0.0031005,,
-0.027405,-0.00056641,0.011689,-0.0028132,-0.007422,,
-0.024276,-0.0005481,0.0067502,-0.0030646,-0.0018675,,
-0.11965,-0.00056641,0.010937,-0.0022984,-0.0054588,,
-0.065923,-0.00057007,0.010466,-0.003735,-0.008667,,
-0.053083,-0.00055664,0.0086317,-0.0043694,-0.0028491,,
-0.071965,-0.00056152,0.015664,-0.0035314,-0.0081403,,
0.036468,-0.00056641,0.008914,-0.0052194,-0.0037828,,
-0.018665,-0.00056519,0.0068677,-0.0026576,-0.0011253,,
-0.027621,-0.00056885,0.008326,-0.0018435,-0.0071706,,
-0.02406,-0.00056396,0.0019992,-0.0021189,-0.0026576,,
-0.12084,-0.00056152,0.0073852,-0.0036152,-0.0067277,,
-0.067541,-0.00054321,0.013018,-0.0053151,-0.0096726,,
-0.051357,-0.00054932,0.0079144,-0.0054588,-0.0050039,,
-0.067217,-0.00056152,0.013359,-0.0056024,-0.011013,,
0.034256,-0.00054688,0.0081143,-0.0038786,-0.0056623,,
-0.020931,-0.00053467,0.0048451,-0.00081403,-0.0037828,,
-0.025571,-0.00054932,0.0078085,-0.00052672,-0.008248,,
-0.021471,-0.00054688,0.0041512,-0.0016161,-0.0025379,,
-0.1216,-0.00053955,0.010466,-0.0027294,-0.007446,,
-0.067379,-0.00053711,0.013418,-0.0055785,-0.009505,,
-0.049523,-0.00053101,0.0078321,-0.0055186,-0.0051116,,
-0.073583,-0.00052734,0.011901,-0.0047764,-0.011744,,
0.033771,-0.00052979,0.0055506,-0.0041899,-0.0071108,,
-0.019852,-0.00052979,0.0040336,-0.0015921,-0.0036631,,
-0.030156,-0.0005249,0.0097372,-0.0037709,-0.0094332,,
-0.022118,-0.00052979,0.002987,-0.0062968,-0.0059975,,
-0.12246,-0.00052612,0.0063503,-0.0055785,-0.0076255,,
-0.062146,-0.00052979,0.0097607,-0.0077093,-0.011217,,
-0.047527,-0.00052368,0.002987,-0.0065601,-0.0058059,,
-0.070184,-0.00052856,0.0091492,-0.0067756,-0.013001,,
0.037223,-0.00052979,0.0050332,-0.0048004,-0.0097923,,
-0.020769,-0.0005249,0.0049391,-0.0039983,-0.0056264,,
-0.031019,-0.0005127,0.0091609,-0.0051715,-0.011971,,
-0.022658,-0.00052246,0.0016699,-0.0058658,-0.0062489,,
-0.11987,-0.00051025,0.0064444,-0.0046687,-0.010187,,
-0.065599,-0.0005127,0.0079497,-0.0073023,-0.012378,,
-0.04812,-0.00052002,0.0057153,-0.0068594,-0.0065242,,
-0.067109,-0.00051758,0.013136,-0.0081044,-0.013982,,
0.038194,-0.00050293,0.007785,-0.0085473,-0.0091578,,
-0.013918,-0.00050781,0.0054566,-0.0050518,-0.007841,,
